STATE_INDEX,BITSTRING_Q0_TO_Q8,COUNT,EMPIRICAL_PROBABILITY,THEORETICAL_PROBABILITY,IS_FEASIBLE,IS_OPTIMAL,ORDER_NODE_IDS,ROAD_DISTANCE_KM,CONSTRAINT_VIOLATION,QUBO_ENERGY
7,111000000,2,0.00048828125,0.00038427810325225776,False,False,INFACTIBLE,,6.0,1510.6836999999998
25,100110000,2,0.00048828125,0.0009474553038791968,False,False,INFACTIBLE,,4.0,1097.6811
43,110101000,2,0.00048828125,0.00015206595818975573,False,False,INFACTIBLE,,4.0,1210.8036
46,011101000,2,0.00048828125,0.00015206595818975543,False,False,INFACTIBLE,,4.0,1210.8036
53,101011000,2,0.00048828125,0.00016271206532867443,False,False,INFACTIBLE,,4.0,1186.8085
73,100100100,2,0.00048828125,0.0004171621825015225,False,False,INFACTIBLE,,6.0,1600.9324
88,000110100,2,0.00048828125,0.0009540096802269977,False,False,INFACTIBLE,,4.0,1095.7111
105,100101100,2,0.00048828125,0.0001651548758826255,False,False,INFACTIBLE,,6.0,1692.6191
110,011101100,2,0.00048828125,0.0001268712452437687,False,False,INFACTIBLE,,4.0,1286.2289
119,111011100,2,0.00048828125,3.354370378408327e-05,False,False,INFACTIBLE,,8.0,2221.4404
124,001111100,2,0.00048828125,0.00018659895308481477,False,False,INFACTIBLE,,6.0,1734.9587
139,110100010,2,0.00048828125,0.00025925059551671514,False,False,INFACTIBLE,,4.0,1127.7566
171,110101010,2,0.00048828125,0.00015469124918960738,False,False,INFACTIBLE,,4.0,1261.7829
176,000011010,2,0.00048828125,0.0012359522080944432,False,False,INFACTIBLE,,4.0,1029.4575
184,000111010,2,0.00048828125,0.00013255625094547223,False,False,INFACTIBLE,,6.0,1600.4814999999999
225,100001110,2,0.00048828125,0.0019518919536211014,False,False,INFACTIBLE,,2.0,714.1409
227,110001110,2,0.00048828125,0.000120180194856883,False,False,INFACTIBLE,,4.0,1203.1819
279,111010001,2,0.00048828125,0.0001904911693514772,False,False,INFACTIBLE,,6.0,1649.8844
